UnitName,Model,c_total,c_shrub,c_herb,c_wood_1hr,c_wood_10hr,c_wood_100hr,c_1000S,c_1000R,c_1000hr,c_litter,c_duff
Angel,5,14.8,0.13,0.06,0.32,0.92,1.05,1.51,2.82,4.33,1.62,6.37
Chumstick,5,10.74,0.04,0.03,0.1,1.08,1.93,1.5,0.1,1.6,2.86,3.1
Orion,5,9.47,0.07,0.13,0.01,0.45,0.6,0.68,0.75,1.43,1.66,5.11
Paradise90,5,26.13,0.38,0.05,0.22,1.26,1.17,2.72,1.39,4.11,0.98,17.97
ShermanCreek,5,6.48,0.08,0.25,0.03,0.76,1.32,0.12,0,0.12,0.95,2.97
25Mile,5,8.69,0.12,0.15,0.06,0.65,0.93,1.58,1.17,2.75,2.46,1.57
Angel,4.2,13.33,0.09,0.06,0.38,0.94,1.15,1.44,3.08,4.52,2.47,3.73
Chumstick,4.2,11.78,0.03,0.03,0.12,1.11,2.13,1.77,0.09,1.87,4.24,2.27
Orion,4.2,7.86,0.05,0.13,0.01,0.46,0.66,0.43,0.65,1.08,2.53,2.95
Paradise90,4.2,15.55,0.25,0.05,0.26,1.29,1.29,2.36,1.28,3.64,1.57,7.21
ShermanCreek,4.2,3.42,0.05,0.25,0.03,0.78,1.45,0.08,0.07,0.15,0.71,0
25Mile,4.2,6.11,0.08,0.15,0.07,0.67,1.03,0.71,0.73,1.44,2.68,0
Angel,2.1,11.64,0.09,0.06,0.38,0.95,1.24,0.72,1.02,1.74,1.68,5.51
Chumstick,2.1,10.31,0.03,0.03,0.12,1.13,2.36,1.01,0.02,1.03,3.15,2.46
Orion,2.1,7.78,0.05,0.14,0.01,0.44,0.68,0.23,0.17,0.4,1.72,4.36
Paradise90,2.1,22.22,0.27,0.05,0.26,1.32,1.34,1.88,0.52,2.4,0.93,15.66
ShermanCreek,2.1,4.21,0.06,0.27,0.03,0.78,0.99,0.09,0.02,0.11,0.68,1.29
25Mile,2.1,6.57,0.08,0.16,0.07,0.66,0.85,0.72,0.29,1.01,2.43,1.31
Angel,0,18.14,0.08,0.05,0.3,0.84,1.24,2.13,4.77,6.9,2.01,6.71
Chumstick,0,13.97,0.02,0.02,0.11,1.15,2.53,2.34,2.46,4.8,3.53,4.15
Orion,0,9.47,0.07,0.11,0,0.21,0.47,0.53,0.48,1.01,2.11,5.49
Paradise90,0,28.45,0.03,0.02,0.19,1.08,0.93,4.3,2,6.3,0.93,18.97
ShermanCreek,0,3.07,0.05,0.15,0.01,0.11,0.3,0,0.43,0.43,1.56,0.47
25Mile,0,4.92,0.02,0.12,0.04,0.49,0.72,0.47,0.49,0.96,1.6,0.96
