Coefficient of Variabilities,,,,,,,,,,,
,Duff,Litter,1hr,10hr,100hr,1000hr,Herb,Shrub,,,
25 Mile,172.1,138.7,149.7,110.2,72.4,35.1,41.3,234.3,,,
Angel,167.1,66.8,84.9,70.0,65.2,38.2,98.4,220.7,,,
Chumstick ZUI,255.6,121.6,176.7,96.3,93.5,47.0,100.3,161.5,,,
Orion 2,166.5,79.2,152.0,78.5,45.4,56.7,37.7,231.0,,,
Paradise 90,103.4,69.0,75.1,48.3,55.4,30.3,55.0,56.1,,,
Sherman Creek,113.9,117.9,113.6,53.3,39.2,27.1,33.1,168.5,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
