unitName,clipPlotMat,Season,Fmpercent
Sherman Creek,1000hr,Spring,39.9303737
Sherman Creek,1000hr,Spring,69.8839377
Sherman Creek,1000hr,Spring,78.36397184
Sherman Creek,1000hr,Spring,79.75109928
Sherman Creek,1000hr,Spring,84.86082556
Sherman Creek,1000hr,Spring,85.80087194
Sherman Creek,1000hr,Spring,88.80905306
Sherman Creek,1000hr,Spring,90.35475887
Sherman Creek,1000hr,Spring,94.26643743
Sherman Creek,1000hr,Spring,96.61840951
Sherman Creek,1000hr,Spring,96.84768732
Sherman Creek,1000hr,Spring,127.9387168
Sherman Creek,1000hr,Spring,140.3594802
Sherman Creek,1000hr,Spring,171.1601524
Sherman Creek,1000hr,Spring,171.9727118
Sherman Creek,1000hr,Spring,178.1348487
Sherman Creek,1000hr,Spring,188.498733
Sherman Creek,1000hr,Spring,196.041375
Sherman Creek,1000hr,Spring,200.0574999
Sherman Creek,1000hr,Spring,268.8706765
25 Mile,1000hr,Spring,20.51987203
25 Mile,1000hr,Spring,29.23048188
25 Mile,1000hr,Spring,33.2332469
25 Mile,1000hr,Spring,35.18003718
25 Mile,1000hr,Spring,40.69468915
25 Mile,1000hr,Spring,51.10696807
25 Mile,1000hr,Spring,56.17450084
25 Mile,1000hr,Spring,64.42192712
25 Mile,1000hr,Spring,66.2231718
25 Mile,1000hr,Spring,70.54298952
25 Mile,1000hr,Spring,80.51863857
25 Mile,1000hr,Spring,93.45879496
25 Mile,1000hr,Spring,93.73583555
25 Mile,1000hr,Spring,101.6723663
25 Mile,1000hr,Spring,104.7627759
25 Mile,1000hr,Spring,105.1099927
25 Mile,1000hr,Spring,105.5319578
25 Mile,1000hr,Spring,131.075868
25 Mile,1000hr,Spring,235.9269877
25 Mile,1000hr,Spring,1388.743395
Sherman Creek,100hr,Spring,37.57256019
Sherman Creek,100hr,Spring,55.09411851
Sherman Creek,100hr,Spring,67.67669523
Sherman Creek,100hr,Spring,83.11882581
Sherman Creek,100hr,Spring,85.27153044
Sherman Creek,100hr,Spring,104.1388631
Sherman Creek,100hr,Spring,113.1649661
Sherman Creek,100hr,Spring,115.7726681
Sherman Creek,100hr,Spring,137.9689342
Sherman Creek,100hr,Spring,210.1438718
25 Mile,100hr,Spring,15.88289912
25 Mile,100hr,Spring,17.81867341
25 Mile,100hr,Spring,24.37353934
25 Mile,100hr,Spring,25.13620735
25 Mile,100hr,Spring,26.34015466
25 Mile,100hr,Spring,36.76896733
25 Mile,100hr,Spring,37.09460892
25 Mile,100hr,Spring,39.42045673
25 Mile,100hr,Spring,39.5289236
25 Mile,100hr,Spring,47.50553506
Sherman Creek,10hr,Spring,22.51392204
Sherman Creek,10hr,Spring,25.0427328
Sherman Creek,10hr,Spring,27.66973456
Sherman Creek,10hr,Spring,28.73531316
Sherman Creek,10hr,Spring,29.39730173
Sherman Creek,10hr,Spring,29.68633405
Sherman Creek,10hr,Spring,33.21163382
Sherman Creek,10hr,Spring,35.08721487
Sherman Creek,10hr,Spring,37.82681417
Sherman Creek,10hr,Spring,51.10690358
25 Mile,10hr,Spring,9.712401539
25 Mile,10hr,Spring,11.32775165
25 Mile,10hr,Spring,11.66881167
25 Mile,10hr,Spring,11.78277523
25 Mile,10hr,Spring,13.07599963
25 Mile,10hr,Spring,13.1734634
