epShort,samplingStartDate,plot,treeTagNo,scientificName,dbh_in,ht_ft,htlc_ft,cbh_ft,status,crownScorch_%,maxScorchHt_ft,minBoleChar_ft,maxBoleChar_ft,burnSeverity
PRE,10-Sep-16,1,910,Pinus ponderosa,24.5,90,32,29,L,100,90,1,9,3
PRE,12-Sep-16,7,45,Pseudotsuga menziesii,24.4,116,36,9,L,100,116,12,65,3
PRE,10-Sep-16,5,927,Pinus ponderosa,23.3,49,38,32,L,100,49,1,7,3
PRE,12-Sep-16,7,41,Pseudotsuga menziesii,23,108,36,23,L,100,108,8,38,3
PRE,12-Sep-16,7,40,Pseudotsuga menziesii,19.5,106,51,38,L,100,106,12,32,3
PRE,12-Sep-16,7,42,Pseudotsuga menziesii,16.8,104,33,12,L,100,104,14,40,3
PRE,20-Sep-16,9,480,Pseudotsuga menziesii,16,60,22,8,L,100,60,35,43,3
PRE,20-Sep-16,15,149,Pseudotsuga menziesii,16,62,27,4,L,100,62,20,38,3
PRE,12-Sep-16,7,43,Pseudotsuga menziesii,13.8,45,25,2,L,100,45,7,25,3
PRE,12-Sep-16,7,39,Pinus ponderosa,13.3,86,40,33,L,100,86,0.1,21,3
PRE,20-Sep-16,15,148,Pinus ponderosa,12.5,69,41,30,L,100,69,69,69,3
PRE,20-Sep-16,11,498,Pseudotsuga menziesii,12,60,37,20,L,100,60,5,14,3
PRE,20-Sep-16,15,169,Pseudotsuga menziesii,11.9,64,21,21,L,100,64,0.1,64,3
PRE,12-Sep-16,7,44,Pinus ponderosa,11.4,36,15,6,L,100,36,2,23,3
PRE,20-Sep-16,11,2420,Pseudotsuga menziesii,11.1,62,27,14,L,100,62,5,11,3
PRE,20-Sep-16,15,152,Pseudotsuga menziesii,10.6,47,9,10,L,100,47,12,13,3
PRE,20-Sep-16,15,166,Pseudotsuga menziesii,10.1,45,16,1,L,100,45,45,45,3
PRE,20-Sep-16,7,432,Pinus ponderosa,9.6,27,11,11,L,100,27,0.1,5,3
PRE,20-Sep-16,11,2421,Pseudotsuga menziesii,9.3,45,21,4,L,100,45,6,11,3
PRE,20-Sep-16,11,2428,Pseudotsuga menziesii,9.3,51,19,6,L,100,51,4,10,3
